row,query,label,complexity,recommended_llm,needs_followup,distractor_label,biomarkers,is_high_risk,query_length
37,Explain the role of oral food challenges in food allergy management,general,3,Mistral,False,recommendation,[],False,9
38,Medical nutrition therapy for a 4yo with eosinophilic esophagitis and wheat allergy in Bangladesh,therapy,5,Mistral,False,recommendation,[],True,13
39,Recommend safe first foods for a 6-month-old with suspected FPIES to rice in Nigeria,recommendation,5,Mistral,True,therapy,[],True,14
40,Compare iron bioavailability in meat vs fortified cereals for a child with milk allergy in Kenya,comparison,4,Mistral,True,recommendation,['iron'],False,14
41,How does food allergy impact growth in early childhood?,general,3,Mistral,False,therapy,[],True,8
42,Nutrition therapy for a 5yo with multiple IgE-mediated food allergies and faltering weight in Ghana,therapy,5,Mistral,False,recommendation,[],True,14
43,Recommend high-energy, allergy-safe snacks for school in India,recommendation,4,Mistral,True,therapy,[],False,9
44,Compare zinc content in pumpkin seeds vs lentils for a child with nut allergy in South Africa,comparison,3,TinyLlama,True,recommendation,['zinc'],False,13
45,What are safe sources of omega-3 for a child with fish allergy in Nigeria?,recommendation,4,Mistral,True,therapy,['omega_3'],False,12
46,Medical nutrition therapy for a 6yo with cystic fibrosis (pancreatic insufficient) and weight z-score -1.8 in Kenya,therapy,5,Mistral,False,recommendation,['weight'],True,16
47,Recommend high-energy, enzyme-compatible meals for a 4yo with CF in Nigeria,recommendation,5,Mistral,True,therapy,[],True,11
48,Compare fat content in groundnut soup vs palm oil stew for a child with CF in Ghana,comparison,3,TinyLlama,True,therapy,['fat'],False,14
49,How do pancreatic enzymes affect fat-soluble vitamin absorption in cystic fibrosis?,general,4,Mistral,False,therapy,['vitamin_a','vitamin_d','vitamin_e','vitamin_k'],True,12
50,What vitamin K dose is recommended for children with cystic fibrosis in India?,recommendation,4,Mistral,True,therapy,['vitamin_k'],True,11
51,Compare salt loss in sweat between Nigerian vs Indian children with CF,comparison,3,TinyLlama,True,therapy,['sodium'],False,12
52,Why is vitamin K supplementation critical in cystic fibrosis?,general,3,Mistral,False,recommendation,['vitamin_k'],True,8
53,Medical nutrition therapy for a 7yo with CF-related diabetes in South Africa,therapy,5,Mistral,False,recommendation,['hba1c'],True,10
54,Recommend ways to increase calorie density of local meals for a child with CF in Bangladesh,recommendation,4,Mistral,True,therapy,[],False,13
55,Compare efficacy of different pancreatic enzyme brands with local diets in Nigeria,comparison,4,Mistral,True,therapy,[],False,11
56,How does CF affect bone mineral density in children?,general,4,Mistral,False,therapy,['calcium','vitamin_d'],True,9
57,Nutrition therapy for a 5yo with CF and recurrent pancreatitis in Kenya,therapy,5,Mistral,False,recommendation,[],True,11
58,Recommend fat-soluble vitamin monitoring schedule for a child with CF in Ghana,recommendation,4,Mistral,True,therapy,['vitamin_a','vitamin_d','vitamin_e','vitamin_k'],True,12
59,Compare energy needs of CF children vs healthy peers in India,comparison,3,TinyLlama,True,therapy,[],False,10
60,What are signs of essential fatty acid deficiency in cystic fibrosis?,general,3,Mistral,False,recommendation,['fatty_acids'],True,9
61,Medical nutrition therapy for a 5yo with PKU (Phe 380 µmol/L) in Nigeria,therapy,5,Mistral,False,recommendation,['phenylalanine'],True,11
62,Recommend low-phenylalanine local foods for a 7yo with PKU in Kenya,recommendation,5,Mistral,True,therapy,['phenylalanine'],True,12
63,Compare natural protein content in cassava vs rice for a child with MSUD in Ghana,comparison,4,Mistral,True,therapy,['protein'],False,13
64,What is the emergency regimen for galactosemia during acute illness?,general,5,Mistral,False,therapy,[],True,10
65,How much medical formula should a 4yo with PKU consume daily in India?,recommendation,5,Mistral,True,therapy,['phenylalanine'],True,12
66,Compare leucine content in local legumes for a child with MSUD in South Africa,comparison,4,Mistral,True,therapy,['leucine'],False,12
67,Explain why tyrosine becomes essential in PKU,general,4,Mistral,False,recommendation,['tyrosine'],False,7
68,Medical nutrition therapy for a 6yo with maple syrup urine disease during intercurrent illness in Nigeria,therapy,5,Mistral,False,recommendation,['leucine'],True,14
69,Recommend emergency high-carbohydrate fluids for a child with fatty acid oxidation disorder in Kenya,recommendation,5,Mistral,True,therapy,[],True,13
70,Compare galactose content in breast milk vs soy formula for galactosemia in Ghana,comparison,4,Mistral,True,therapy,['galactose'],False,12
71,How is ammonia detoxified in urea cycle disorders?,general,4,Mistral,False,therapy,['ammonia'],True,7
72,Nutrition therapy for a 3yo with ornithine transcarbamylase deficiency in India,therapy,5,Mistral,False,recommendation,['ammonia'],True,10
73,Recommend protein restriction levels for a 5yo with citrullinemia in South Africa,recommendation,5,Mistral,True,therapy,['protein'],True,11
74,Compare efficacy of sodium benzoate vs glycerol phenylbutyrate in UCDs,comparison,4,Mistral,True,therapy,[],False,10
75,What are safe natural protein sources for a child with homocystinuria in Nigeria?,recommendation,5,Mistral,True,therapy,['methionine'],True,13
76,Ketogenic diet plan for a 6yo with drug-resistant epilepsy (4:1 ratio) in Kenya,therapy,5,Mistral,False,recommendation,['weight'],True,12
77,Recommend carnitine-rich foods for a child on valproate in Nigeria,recommendation,4,Mistral,True,therapy,['carnitine'],True,10
78,Compare hidden carbohydrate content in local toothpaste vs syrups for ketogenic diet in Ghana,comparison,4,Mistral,True,therapy,['carbohydrate'],False,14
79,How does the ketogenic diet affect growth in school-aged children?,general,3,Mistral,False,recommendation,[],False,9
80,What is the minimum fat intake for a 4yo on a 3:1 ketogenic diet in India?,recommendation,5,Mistral,True,therapy,['fat'],True,13
81,Compare seizure control outcomes with MCT oil vs classic keto in South Africa,comparison,4,Mistral,True,therapy,[],False,11
82,Explain why selenium and carnitine are monitored in ketogenic therapy,general,4,Mistral,False,recommendation,['carnitine','selenium'],True,9
83,Medical nutrition therapy for a 5yo with GLUT1 deficiency on ketogenic diet in Nigeria,therapy,5,Mistral,False,recommendation,[],True,11
84,Recommend low-carb, high-fat local snacks for a child on keto in Kenya,recommendation,5,Mistral,True,therapy,['carbohydrate','fat'],True,12
85,Compare oxalate content in spinach vs amaranth for children on long-term keto in Ghana,comparison,4,Mistral,True,therapy,['oxalate'],False,13
86,How does topiramate affect metabolic acidosis risk in ketogenic diet?,general,4,Mistral,False,therapy,[],True,9
87,Nutrition therapy for a 7yo with Lennox-Gastaut syndrome on clobazam and keto in India,therapy,5,Mistral,False,recommendation,[],True,12
88,Recommend strategies to prevent constipation on ketogenic diet in South Africa,recommendation,4,Mistral,True,therapy,[],False,10
89,Compare fluid requirements on classic vs modified Atkins diet in Nigeria,comparison,3,TinyLlama,True,therapy,[],False,10
90,What labs should be monitored monthly in pediatric ketogenic therapy?,general,4,Mistral,False,recommendation,['carnitine','selenium','lipids'],True,9
91,Nutrition therapy for a 7yo with CKD stage 3 (eGFR 58) in Nigeria,therapy,5,Mistral,False,recommendation,['egfr'],True,11
92,Recommend low-potassium fruits for a 5yo with CKD in Kenya,recommendation,4,Mistral,True,therapy,['potassium'],True,10
93,Compare phosphate additive content in packaged vs homemade ogi for a child with CKD in Ghana,comparison,4,Mistral,True,therapy,['phosphate'],False,14
94,Why is protein restriction individualized in pediatric CKD?,general,4,Mistral,False,therapy,['protein'],False,8
95,How much fluid should a child with CKD stage 2 consume daily?,recommendation,4,Mistral,True,therapy,[],True,11
96,Compare sodium content in local soups for a child with CKD and hypertension in India,comparison,3,TinyLlama,True,therapy,['sodium'],False,13
97,Explain the role of FGF23 in phosphate regulation in CKD,general,4,Mistral,False,therapy,['phosphate'],True,9
98,Medical nutrition therapy for a 6yo with nephrotic syndrome and proteinuria in South Africa,therapy,5,Mistral,False,recommendation,['proteinuria'],True,12
99,Recommend low-phosphorus protein sources for a 4yo with CKD in Nigeria,recommendation,5,Mistral,True,therapy,['phosphorus'],True,11
100,Compare potassium content in plantain vs banana per child serving in Kenya,comparison,3,TinyLlama,True,recommendation,['potassium'],False,13
101,Medical nutrition therapy for a 4yo with Crohn’s disease (fecal calprotectin 800) in Nigeria,therapy,5,Mistral,False,recommendation,['fecal_calprotectin'],True,13
102,Recommend low-residue meals for a 6yo with IBD flare in Ghana,recommendation,5,Mistral,True,therapy,[],True,10
103,Compare fiber content in amala vs eba for a child with stricturing Crohn’s in Kenya,comparison,4,Mistral,True,therapy,['fiber'],False,13
104,How do PPIs affect micronutrient absorption in children with GERD?,general,4,Mistral,False,therapy,['magnesium','vitamin_b12','calcium'],True,10
105,What are safe iron sources for a child with IBD and anemia in India?,recommendation,5,Mistral,True,therapy,['iron'],True,12
106,Compare efficacy of exclusive enteral nutrition vs corticosteroids in pediatric Crohn’s in South Africa,comparison,4,Mistral,True,therapy,[],False,12
107,Explain why vitamin D deficiency is common in inflammatory bowel disease,general,4,Mistral,False,recommendation,['vitamin_d'],True,9
108,Nutrition therapy for a 5yo with eosinophilic esophagitis on six-food elimination diet in Nigeria,therapy,5,Mistral,False,recommendation,[],True,13
109,Recommend thickened local porridges for a 3yo with GERD in Kenya,recommendation,4,Mistral,True,therapy,[],True,10
110,Compare allergenicity of rice vs oat thickeners for infant GERD in Ghana,comparison,3,TinyLlama,True,therapy,[],False,11
111,How does short bowel syndrome affect fluid and electrolyte needs?,general,4,Mistral,False,therapy,['sodium','potassium'],True,9
112,Medical nutrition therapy for a 4yo with short bowel syndrome post-resection in India,therapy,5,Mistral,False,recommendation,[],True,12
113,Recommend high-energy, low-oxalate foods for a child with enteric hyperoxaluria in South Africa,recommendation,5,Mistral,True,therapy,['oxalate'],True,12
114,Compare fat absorption in children with ileal resection vs jejunal resection in Nigeria,comparison,4,Mistral,True,therapy,['fat'],False,12
115,What vitamins require parenteral replacement in short bowel syndrome?,general,4,Mistral,False,recommendation,['vitamin_b12','fat_soluble_vitamins'],True,9
116,Post-discharge nutrition plan for a 5-month-old ex-preterm infant (birth weight 1.1kg) in Ghana,therapy,5,Mistral,False,recommendation,[],True,14
117,How much iron should a preterm infant receive after 40 weeks PMA in Kenya?,recommendation,4,Mistral,True,therapy,['iron'],True,12
118,Compare vitamin A content in liver paste vs fortified oil for preterm infants in Nigeria,comparison,4,Mistral,True,recommendation,['vitamin_a'],False,14
119,What are growth targets for preterm infants at 12 months corrected age?,general,3,Mistral,False,therapy,[],False,9
120,Recommend strategies to prevent iron deficiency in ex-preterm infants in India,recommendation,4,Mistral,True,therapy,['iron'],True,11
121,Medical nutrition therapy for a 7yo with type 1 diabetes and celiac disease in South Africa,therapy,5,Mistral,False,recommendation,['hba1c'],True,12
122,Recommend gluten-free, low-glycemic snacks for a child with T1D in Nigeria,recommendation,4,Mistral,True,therapy,['glycemic_index'],True,11
123,Compare glycemic index of gluten-free maize pasta vs rice pasta in Kenya,comparison,3,TinyLlama,True,therapy,['glycemic_index'],False,11
124,How does celiac disease affect diabetes control?,general,3,Mistral,False,recommendation,[],False,6
125,What is the risk of diabetic ketoacidosis during gastroenteritis in children?,general,4,Mistral,False,therapy,[],True,10
126,Medical nutrition therapy for a 3yo with FPIES to oats in Ghana,therapy,5,Mistral,False,recommendation,[],True,9
127,Recommend safe grains for a child with multiple food protein allergies in India,recommendation,5,Mistral,True,therapy,[],False,11
128,Compare allergenic potential of quinoa vs teff in food-allergic children in South Africa,comparison,3,TinyLlama,True,recommendation,[],False,11
129,How is oral immunotherapy monitored nutritionally?,general,4,Mistral,False,therapy,[],False,6
130,What nutrients are at risk during elimination diets for food allergy?,general,4,Mistral,False,recommendation,['calcium','vitamin_d','protein'],True,9
131,Nutrition therapy for a 6yo with CF and allergic bronchopulmonary aspergillosis in Nigeria,therapy,5,Mistral,False,recommendation,[],True,12
132,Recommend anti-inflammatory foods for a child with CF and chronic lung inflammation in Kenya,recommendation,4,Mistral,True,therapy,[],False,12
133,Compare omega-3 content in local fish vs supplements for CF in Ghana,comparison,3,TinyLlama,True,therapy,['omega_3'],False,12
134,How does azithromycin affect gut microbiome in cystic fibrosis?,general,4,Mistral,False,therapy,[],True,8
135,What is the role of probiotics in CF nutrition?,general,3,Mistral,False,recommendation,[],False,8
136,Medical nutrition therapy for a 5yo with propionic acidemia during illness in India,therapy,5,Mistral,False,recommendation,['ammonia'],True,12
137,Recommend emergency regimen for a child with methylmalonic acidemia in South Africa,recommendation,5,Mistral,True,therapy,[],True,11
138,Compare protein tolerance in different organic acidemias in Nigeria,comparison,4,Mistral,True,therapy,['protein'],False,9
139,How is carnitine used in organic acidemias?,general,4,Mistral,False,recommendation,['carnitine'],True,7
140,What labs indicate metabolic decompensation in IEMs?,general,4,Mistral,False,therapy,['ammonia','lactate','glucose'],True,8
141,Ketogenic diet for a 4yo with infantile spasms in Kenya,therapy,5,Mistral,False,recommendation,['weight'],True,8
142,Recommend ways to mask MCT oil taste in local foods for keto in Nigeria,recommendation,4,Mistral,True,therapy,[],False,12
143,Compare seizure freedom rates with keto vs modified Atkins in Ghana,comparison,4,Mistral,True,therapy,[],False,10
144,How does the ketogenic diet affect bone health?,general,4,Mistral,False,recommendation,['calcium','vitamin_d'],True,8
145,What is the role of urine ketone monitoring in pediatric keto?,general,3,Mistral,False,therapy,['ketones'],False,9
146,Nutrition therapy for a 8yo with CKD stage 4 (eGFR 28) in India,therapy,5,Mistral,False,recommendation,['egfr'],True,10
147,Recommend phosphate binder-compatible meals for a child with CKD in South Africa,recommendation,5,Mistral,True,therapy,['phosphate'],True,11
148,Compare potassium content in cooked vs raw leafy greens for CKD in Nigeria,comparison,4,Mistral,True,therapy,['potassium'],False,12
149,Why is metabolic acidosis common in advanced CKD?,general,4,Mistral,False,therapy,[],True,7
150,What is the role of bicarbonate supplementation in pediatric CKD?,general,4,Mistral,False,recommendation,[],False,9
151,Medical nutrition therapy for a 5yo with ulcerative colitis in remission in Kenya,therapy,4,Mistral,False,recommendation,[],True,11
152,Recommend iron-rich, low-fiber foods for a child with IBD and anemia in Ghana,recommendation,5,Mistral,True,therapy,['iron'],True,12
153,Compare zinc absorption in children with active vs quiescent Crohn’s in Nigeria,comparison,4,Mistral,True,therapy,['zinc'],False,12
154,How does exclusive enteral nutrition induce remission in Crohn’s?,general,4,Mistral,False,therapy,[],True,8
155,What are nutritional risks of long-term steroid use in IBD?,general,4,Mistral,False,recommendation,['calcium','vitamin_d'],True,9
156,Recommend high-protein, low-residue meals for a 6yo with IBD in India,recommendation,5,Mistral,True,therapy,['protein'],True,11
157,Medical nutrition therapy for a 3yo with GERD and neurodisability in South Africa,therapy,5,Mistral,False,recommendation,[],True,11
158,Compare efficacy of thickened feeds vs positional management for GERD in Nigeria,comparison,3,TinyLlama,True,therapy,[],False,10
159,How does GERD affect nutrient absorption in neurologically impaired children?,general,4,Mistral,False,therapy,[],True,10
160,What are safe feeding strategies for a child with GERD and aspiration risk in Kenya?,recommendation,5,Mistral,True,therapy,[],True,13
161,Compare energy needs of preterm vs term infants at 6 months corrected age in Ghana,comparison,3,TinyLlama,True,therapy,[],False,12
162,How does bronchopulmonary dysplasia increase calorie needs in preterm infants?,general,4,Mistral,False,therapy,[],True,9
163,Recommend fortified local foods for a 10-month-old ex-preterm in Nigeria,recommendation,4,Mistral,True,therapy,[],False,10
164,Medical nutrition therapy for a 6-month-old with preterm history and cholestasis in India,therapy,5,Mistral,False,recommendation,['bilirubin'],True,12
165,What is the role of medium-chain triglycerides in preterm nutrition?,general,4,Mistral,False,recommendation,['fat'],False,10
166,Recommend carbohydrate distribution for a 9yo with T1D on pump therapy in South Africa,recommendation,4,Mistral,True,therapy,['carbohydrate'],True,12
167,Compare insulin sensitivity between morning and evening in T1D children in Kenya,comparison,4,Mistral,True,therapy,['insulin'],False,11
168,How does puberty affect insulin resistance in adolescents with T1D?,general,4,Mistral,False,recommendation,[],False,9
169,Medical nutrition therapy for a 12yo with T1D and eating disorder in Nigeria,therapy,5,Mistral,False,recommendation,[],True,11
170,Recommend strategies to manage insulin stacking in active teens with T1D in Ghana,recommendation,4,Mistral,True,therapy,[],False,12
171,Compare allergen introduction timing for high-risk infants in India vs WHO guidelines,comparison,3,TinyLlama,True,therapy,[],False,11
172,How effective is early peanut introduction in preventing allergy in Africa?,general,3,TinyLlama,False,recommendation,[],False,9
173,Recommend safe weaning foods for a 5-month-old with strong family allergy history in South Africa,recommendation,4,Mistral,True,therapy,[],False,13
174,Medical nutrition therapy for a 2yo with anaphylaxis to sesame in Nigeria,therapy,5,Mistral,False,recommendation,[],True,9
175,Compare hidden sesame sources in local Nigerian vs Indian processed foods,comparison,4,Mistral,True,therapy,[],False,11
176,How does food allergy affect school performance?,general,3,Mistral,False,recommendation,[],False,6
177,Nutrition therapy for a 7yo with CF and CFRD on insulin in Kenya,therapy,5,Mistral,False,recommendation,['hba1c'],True,10
178,Recommend high-energy, low-carb meals for a child with CF and CFRD in Ghana,recommendation,5,Mistral,True,therapy,['carbohydrate'],True,11
179,Compare glycemic impact of local fruits in CF-related diabetes in Nigeria,comparison,4,Mistral,True,therapy,['glycemic_index'],False,10
180,What is the role of continuous glucose monitoring in CFRD?,general,4,Mistral,False,recommendation,['glucose'],False,8
181,How does CFRD differ from type 1 diabetes?,general,4,Mistral,False,therapy,[],False,7
182,Medical nutrition therapy for a 4yo with tyrosinemia on nitisinone in India,therapy,5,Mistral,False,recommendation,[],True,11
183,Recommend low-tyrosine, low-phenylalanine foods for a child with tyrosinemia in South Africa,recommendation,5,Mistral,True,therapy,['tyrosine','phenylalanine'],True,13
184,Compare natural protein allowance in tyrosinemia vs PKU in Nigeria,comparison,4,Mistral,True,therapy,['protein'],False,10
185,How is nitisinone monitored nutritionally?,general,4,Mistral,False,recommendation,[],False,5
186,What are ocular risks in tyrosinemia and dietary prevention?,general,4,Mistral,False,therapy,[],True,9
187,Ketogenic diet for a 5yo with tuberous sclerosis complex in Kenya,therapy,5,Mistral,False,recommendation,['weight'],True,9
188,Recommend selenium-rich foods for a child on long-term keto in Nigeria,recommendation,4,Mistral,True,therapy,['selenium'],True,10
189,Compare carnitine levels in children on valproate vs other antiepileptics in Ghana,comparison,4,Mistral,True,therapy,['carnitine'],False,12
190,How does the ketogenic diet affect lipid profiles?,general,4,Mistral,False,recommendation,['lipids'],True,8
191,What is the role of urine pH monitoring in keto?,general,3,Mistral,False,therapy,['ph'],False,8
192,Nutrition therapy for a 6yo with CKD stage 2 and hypertension in India,therapy,5,Mistral,False,recommendation,['egfr','sodium'],True,11
193,Recommend low-sodium, low-potassium snacks for a child with CKD in South Africa,recommendation,5,Mistral,True,therapy,['sodium','potassium'],True,12
194,Compare phosphate content in local dairy alternatives for CKD in Nigeria,comparison,4,Mistral,True,therapy,['phosphate'],False,11
195,How does anemia develop in chronic kidney disease?,general,4,Mistral,False,therapy,['iron','ferritin'],True,7
196,What is the role of erythropoietin in CKD nutrition?,general,4,Mistral,False,recommendation,[],False,8
197,Medical nutrition therapy for a 5yo with microscopic colitis in Kenya,therapy,4,Mistral,False,recommendation,[],True,9
198,Recommend low-FODMAP local foods for a child with IBS in Ghana,recommendation,4,Mistral,True,therapy,[],False,10
199,Compare lactose tolerance in children with post-infectious IBS in Nigeria,comparison,3,TinyLlama,True,therapy,['lactose'],False,10
200,How does gut dysbiosis affect nutrition in functional GI disorders?,general,4,Mistral,False,recommendation,[],True,8
201,What probiotics are evidence-based for pediatric IBS?,general,3,TinyLlama,False,recommendation,[],False,7
202,Recommend high-calorie, easy-to-digest meals for a 4yo with GERD in India,recommendation,4,Mistral,True,therapy,[],False,11
203,Medical nutrition therapy for a 3yo with Sandifer syndrome in South Africa,therapy,5,Mistral,False,recommendation,[],True,9
204,Compare efficacy of alginate vs PPIs for infant GERD in Nigeria,comparison,3,TinyLlama,True,therapy,[],False,9
205,How does GERD affect sleep in children?,general,3,Mistral,False,recommendation,[],False,6
206,What are nutritional considerations for fundoplication surgery?,general,4,Mistral,False,therapy,[],True,7
207,Compare growth patterns of preterm infants fed mother's milk vs formula in Kenya,comparison,4,Mistral,True,therapy,[],False,11
208,How does donor human milk affect preterm gut microbiome?,general,4,Mistral,False,recommendation,[],True,8
209,Recommend strategies to support breastfeeding in mothers of preterm infants in Ghana,recommendation,3,TinyLlama,True,therapy,[],False,11
210,Medical nutrition therapy for a 5-month-old with preterm history and iron deficiency in Nigeria,therapy,5,Mistral,False,recommendation,['iron'],True,13
211,What is the role of lactoferrin in preterm nutrition?,general,4,Mistral,False,recommendation,[],False,7
212,Recommend carbohydrate counting tools for a 10yo with T1D in India,recommendation,3,TinyLlama,True,therapy,['carbohydrate'],False,9
213,Compare insulin pump vs MDI for glycemic variability in T1D teens in South Africa,comparison,4,Mistral,True,therapy,['glucose'],False,12
214,How does exercise timing affect hypoglycemia risk in T1D?,general,4,Mistral,False,recommendation,[],False,8
215,Medical nutrition therapy for a 13yo with T1D and insulin resistance in Kenya,therapy,5,Mistral,False,recommendation,['hba1c'],True,11
216,Recommend culturally appropriate meal plans for Ramadan in a child with T1D in Nigeria,recommendation,5,Mistral,True,therapy,[],True,12
217,Compare allergen labeling laws in Nigeria vs South Africa for food-allergic children,comparison,3,TinyLlama,True,therapy,[],False,11
218,How effective are school allergy action plans in Africa?,general,3,TinyLlama,False,recommendation,[],False,8
219,Recommend emergency epinephrine storage strategies in hot climates for allergic children in Ghana,recommendation,4,Mistral,True,therapy,[],False,12
220,Medical nutrition therapy for a 4yo with alpha-gal syndrome in India,therapy,5,Mistral,False,recommendation,[],True,9
221,Compare hidden mammalian meat derivatives in local processed foods in Nigeria,comparison,4,Mistral,True,therapy,[],False,10
222,How does alpha-gal differ from typical IgE-mediated allergy?,general,4,Mistral,False,recommendation,[],False,8
223,Nutrition therapy for a 7yo with CF and osteopenia in South Africa,therapy,5,Mistral,False,recommendation,['vitamin_d','calcium'],True,10
224,Recommend calcium-fortified local foods for a child with CF in Kenya,recommendation,4,Mistral,True,therapy,['calcium'],True,10
225,Compare vitamin D absorption with different CFTR modulators in Ghana,comparison,4,Mistral,True,therapy,['vitamin_d'],False,9
226,How do CFTR modulators affect nutritional status?,general,4,Mistral,False,recommendation,[],False,7
227,What is the role of DEXA scanning in CF bone health?,general,4,Mistral,False,therapy,[],False,8
228,Medical nutrition therapy for a 5yo with citrin deficiency in Nigeria,therapy,5,Mistral,False,recommendation,['ammonia'],True,9
229,Recommend high-carbohydrate, low-protein diet for a child with citrin deficiency in India,recommendation,5,Mistral,True,therapy,['protein','carbohydrate'],True,13
230,Compare sucrose tolerance in citrin deficiency vs healthy children in South Africa,comparison,4,Mistral,True,therapy,['sucrose'],False,10
231,How does citrin deficiency present in older children?,general,4,Mistral,False,recommendation,[],True,7
232,What labs are diagnostic for citrin deficiency?,general,4,Mistral,False,therapy,['ammonia','citrulline'],True,6
233,Ketogenic diet for a 6yo with Dravet syndrome on stiripentol in Kenya,therapy,5,Mistral,False,recommendation,['weight'],True,10
234,Recommend ways to manage stiripentol-induced appetite loss with keto in Nigeria,recommendation,5,Mistral,True,therapy,[],True,11
235,Compare drug interactions between clobazam and ketogenic diet in Ghana,comparison,4,Mistral,True,therapy,[],False,9
236,How does the ketogenic diet affect stiripentol levels?,general,4,Mistral,False,recommendation,[],True,8
237,What is the role of vagus nerve stimulation alongside keto?,general,3,Mistral,False,therapy,[],False,8
238,Nutrition therapy for a 8yo with CKD stage 3 and growth failure in India,therapy,5,Mistral,False,recommendation,['egfr','weight'],True,11
239,Recommend growth-promoting, kidney-safe meals for a child with CKD in South Africa,recommendation,5,Mistral,True,therapy,['protein'],True,11
