id,query,label,complexity,recommended_llm,needs_followup,distractor_label,biomarkers,is_high_risk,has_biomarker
1781,Explain the relationship between the Food Composition Table and dietary assessment.,general,4,TinyLlama,True,comparison,[],False,False
440,How much biotin is in a single egg?,general,2,TinyLlama,False,recommendation,[],False,False
2424,Compare the phytate levels in lentils and oats based on the Food Composition Table.,comparison,1,TinyLlama,True,,['phytate'],False,True
708,Which African legume has the highest methionine: cowpea or pigeon pea?,comparison,3,TinyLlama,True,,[],False,False
359,Is coconut oil healthier than olive oil?,comparison,3,Mistral,True,therapy,[],False,False
465,How much folate should a pregnant woman consume daily?,recommendation,3,Mistral,True,,[],False,False
610,Which is better for gut microbiome: palm wine or fermented maize?,comparison,4,Mistral,True,,[],False,False
422,What is the biochemical mechanism of diabetes complications?,general,5,Mistral,False,,[],False,False
3092,Assess the phytate amounts in millet porridge and maize flour based on the Food Composition Table.,comparison,5,Mistral,True,,['phytate'],False,True
2382,Design a dietary intervention for improving iron status in type 2 diabetes.,therapy,2,Mistral,False,general,['iron'],False,True
2515,Compare the phytate levels in millet porridge and sorghum based on the Food Composition Table.,comparison,5,TinyLlama,True,,['phytate'],False,True
500,What is the biochemical basis of methylmalonic acidemia?,general,5,Mistral,False,,[],False,False
119,Compare iron bioavailability: fresh spinach vs cooked spinach,comparison,3,TinyLlama,True,,['iron'],False,True
624,Which has more tryptophan: unfermented or fermented soy?,comparison,3,TinyLlama,True,,[],False,False
3017,Evaluate the phytate amounts in brown rice and oats based on the Food Composition Table.,comparison,2,Mistral,False,,['phytate'],False,True
1389,Recommend dietary changes for reducing phytate intake in pregnant women.,recommendation,5,Mistral,True,,['phytate'],False,True
21,Compare vitamin B12 in fortified vs unfortified plant milks,comparison,3,TinyLlama,True,,[],False,False
907,What foods should I eat with Wilson's disease and ceruloplasmin level of 10 mg/dL?,therapy,5,Mistral,False,,[],True,False
1910,"Among them, option possesses greater protein digestibility: wheat bread or oats?",comparison,2,Mistral,True,,['protein'],False,True
2179,Explain the relationship between the Food Composition Table and dietary assessment.,general,3,TinyLlama,False,,[],False,False
47,Is roasted or boiled yam better for blood sugar control?,comparison,3,TinyLlama,True,,[],False,False
460,How much 7-dehydrocholesterol should be present in healthy individuals?,recommendation,5,Mistral,True,,['cholesterol'],False,True
2332,Propose a therapy combining dietary and supplement interventions for type 2 diabetes.,therapy,1,TinyLlama,True,general,[],False,False
2305,Suggest plant-based alternatives high in calcium for malnutrition.,recommendation,2,TinyLlama,False,therapy,['calcium'],False,True
1742,Compare the effects of calcium carbonate and ascorbic acid on calcium absorption.,comparison,1,Mistral,False,general,['calcium'],False,True
2645,Suggest foods from the Food Composition Table rich in calcium for adolescents.,recommendation,5,Mistral,False,,['calcium'],False,True
494,Why is AFP elevated in some inborn errors of metabolism?,general,4,Mistral,False,,[],False,False
2597,Suggest plant-based alternatives high in iron for osteoporosis.,recommendation,1,Mistral,False,,['iron'],False,True
274,Diet plan for PKU with phenylalanine 500 µmol/L,therapy,5,Mistral,False,,[],True,False
312,Diet plan for type 2 diabetes with CKD stage 3 (eGFR 45 mL/min),therapy,5,Mistral,False,,[],True,False
941,Diet management recommendations for heart failure with hyponatremia (Na+ 128 mmol/L),therapy,5,Mistral,False,,[],True,False
571,What is the best diet for autoimmune diseases?,therapy,4,Mistral,True,recommendation,[],True,False
918,What foods should I eat with hyperthyroidism and on methimazole treatment?,therapy,5,Mistral,False,,[],True,False
3418,Explain the relationship between the Food Composition Table and dietary assessment.,general,2,Mistral,False,,[],False,False
1237,Which has higher protein digestibility: lentils or quinoa?,comparison,2,Mistral,False,,['protein'],False,True
248,What's the ideal fat intake for someone with chylomicron retention disease?,recommendation,5,Mistral,True,,[],False,False
516,Compare the fat content in whole milk and skim milk,comparison,2,TinyLlama,False,recommendation,[],False,False
2847,What is the role of phytates in human biochemistry?,general,4,Mistral,True,,['phytate'],False,True
2872,How does iron affect metabolic pathways in the human body?,general,4,TinyLlama,False,,['iron'],False,True
3243,Suggest dietary changes for reducing phytate intake in pregnant women.,recommendation,4,TinyLlama,True,,['phytate'],False,True
2079,Design a dietary intervention for improving calcium status in iron-deficiency anemia.,therapy,5,TinyLlama,False,,"['calcium', 'iron']",True,True
2882,Explain the relationship between the Food Composition Table and dietary assessment.,general,3,Mistral,False,,[],False,False
2167,Design a dietary intervention for improving vitamin D status in type 2 diabetes.,therapy,5,Mistral,False,,['vitamin d'],True,True
1116,How does the fat content in whole milk compare to skim milk?,comparison,2,TinyLlama,False,recommendation,[],False,False
2432,How do the biochemical impacts of polyphenol differ from iron in pediatric diets?,comparison,3,Mistral,True,,['iron'],False,True
2388,Outline a clinical nutrition plan for managing osteoporosis with low-phytate foods.,therapy,2,TinyLlama,False,recommendation,['phytate'],False,True
1897,What contains more protein digestibility: millet porridge or sorghum?,comparison,5,Mistral,False,,['protein'],False,True
1923,"Out of these, option possesses greater protein digestibility: cassava flour or maize flour?",comparison,3,Mistral,False,,['protein'],False,True
960,What foods should I eat if I have celiac disease and concurrent IgA deficiency?,therapy,5,Mistral,False,,[],True,False
3153,What is the best way to enhance magnesium absorption for pregnant women?,recommendation,3,TinyLlama,False,,['magnesium'],False,True
751,What daily vitamin C intake is recommended for children with scurvy?,recommendation,5,Mistral,True,,['vitamin c'],False,True
279,Diet therapy for ulcerative colitis with primary sclerosing cholangitis,therapy,5,Mistral,False,,[],True,False
96,How much vitamin D should someone with osteoporosis consume daily?,recommendation,4,Mistral,True,,['vitamin d'],False,True
2574,Suggest foods from the Food Composition Table rich in iron for elderly patients.,recommendation,5,Mistral,False,,['iron'],False,True
2029,Suggest foods from the Food Composition Table rich in magnesium for children under 5.,recommendation,4,Mistral,False,,['magnesium'],False,True
668,Which African legume has the highest methionine: bambara nut or pigeon pea?,comparison,3,TinyLlama,True,,[],False,False
2373,How do the biochemical impacts of fiber differ from magnesium in pediatric diets?,comparison,5,Mistral,False,general,"['fiber', 'magnesium']",False,True
2346,Suggest foods from the Food Composition Table rich in vitamin B12 for children under 5.,recommendation,3,TinyLlama,True,general,[],False,False
3528,How can clinical dietitians use phytate composition data in patient care?,general,4,Mistral,True,recommendation,['phytate'],False,True
2950,What is the role of phytates in human biochemistry?,general,5,TinyLlama,False,therapy,['phytate'],False,True
445,How much succinylacetone should be present in a healthy individual?,recommendation,5,Mistral,True,,[],False,False
327,Diet therapy for ulcerative colitis with primary sclerosing cholangitis,therapy,5,Mistral,False,,[],True,False
237,How much magnesium should someone with muscle spasms consume daily?,recommendation,4,Mistral,True,,['magnesium'],False,True
2782,How does calcium affect metabolic pathways in the human body?,general,1,TinyLlama,True,,['calcium'],False,True
2984,How should a patient with kidney stones adjust their diet to improve magnesium absorption?,therapy,4,Mistral,False,comparison,['magnesium'],True,True
393,How much omega-3 should I take for heart health?,recommendation,4,Mistral,True,therapy,[],False,False
2116,Outline a clinical nutrition plan for managing iron-deficiency anemia with low-phytate foods.,therapy,1,TinyLlama,True,,"['iron', 'phytate']",False,True
211,Diet plan for type 1 diabetes with frequent hypoglycemia episodes,therapy,5,Mistral,False,,[],True,False
2384,How should a patient with kidney stones adjust their meal plan to improve magnesium absorption?,therapy,4,Mistral,False,comparison,['magnesium'],True,True
2662,Create a therapeutic diet for type 2 diabetes based on the Food Composition Table.,therapy,2,Mistral,True,,[],False,False
2012,Suggest a supplementation strategy for improving calcium status in iron-deficiency anemia.,recommendation,3,TinyLlama,False,,"['calcium', 'iron']",False,True
2021,What is the best way to enhance vitamin B12 absorption for adolescents?,recommendation,2,Mistral,False,,[],False,False
715,How does zinc level compare between fresh and dried oysters?,comparison,3,TinyLlama,True,,['zinc'],False,True
3595,How does vitamin D affect metabolic pathways in the human body?,general,1,Mistral,False,therapy,['vitamin d'],False,True
200,How much vitamin C should a child with malnutrition consume daily?,recommendation,5,Mistral,True,,['vitamin c'],False,True
189,How much vitamin D should someone with osteoporosis consume daily?,recommendation,4,Mistral,True,,['vitamin d'],False,True
1641,How does zinc affect metabolic pathways in the human body?,general,1,Mistral,True,,['zinc'],False,True
729,How does calcium absorption compare between traditional and commercial yogurt?,comparison,4,Mistral,True,,['calcium'],False,True
237,Nutrition plan for osteopenia with vitamin D 18 ng/mL,therapy,5,Mistral,False,,['vitamin d'],True,True
1092,What's the suggested daily vitamin A intake for children with measles?,recommendation,5,Mistral,True,,['vitamin a'],False,True
1147,How much protein is in a cup of cooked quinoa?,general,2,TinyLlama,False,recommendation,['protein'],False,True
1661,How does zinc affect metabolic pathways in the human body?,general,3,TinyLlama,False,,['zinc'],False,True
1115,Can I eat eggs if I have high cholesterol?,therapy,3,Mistral,True,general,['cholesterol'],False,True
1182,How does the glycemic index of sweet potatoes compare to white potatoes?,comparison,3,Mistral,True,therapy,[],False,False
1156,How does the potassium content in bananas compare to potatoes?,comparison,3,Mistral,True,therapy,['potassium'],False,True
235,How much vitamin D should someone with CKD stage 2 consume daily?,recommendation,5,Mistral,True,,['vitamin d'],False,True
2512,Compare the phytate levels in wheat bread and oats based on the Food Composition Table.,comparison,3,TinyLlama,False,,['phytate'],False,True
274,What's the recommended daily iodine intake for breastfeeding women?,recommendation,4,Mistral,True,,[],False,False
1394,Recommend dietary changes for reducing phytate intake in elderly patients.,recommendation,3,Mistral,False,,['phytate'],False,True
1953,What is the best way to enhance magnesium absorption for pregnant women?,recommendation,3,TinyLlama,False,,['magnesium'],False,True
2703,Create a therapeutic diet for osteoporosis based on the Food Composition Table.,therapy,1,Mistral,False,,[],False,False
488,What is the biochemical basis of HMG-CoA lyase deficiency?,general,5,Mistral,False,,[],False,False
376,Compare the protein quality of plant vs animal sources,comparison,4,Mistral,True,therapy,['protein'],False,True
1698,How does calcium affect metabolic pathways in the human body?,general,5,Mistral,False,,['calcium'],False,True
3303,Create a therapeutic meal plan for osteoporosis based on the Food Composition Table.,therapy,1,Mistral,False,,[],False,False
644,Which has more tryptophan: unfermented or fermented soy?,comparison,3,TinyLlama,True,,[],False,False
611,How does calcium content compare in traditional Nigerian and Ghanaian soups?,comparison,3,TinyLlama,True,,['calcium'],False,True
2543,Recommend dietary changes for reducing phytate intake in elderly patients.,recommendation,5,Mistral,True,,['phytate'],False,True
1186,How does the antioxidant content in dark chocolate compare to milk chocolate?,comparison,3,Mistral,True,therapy,[],False,False
2310,Explain the relationship between the Food Composition Table and dietary assessment.,general,1,TinyLlama,False,recommendation,[],False,False
779,What daily vitamin D intake is recommended for children with rickets?,recommendation,5,Mistral,True,,['vitamin d'],False,True
114,Is roasted yam or boiled cocoyam better for blood sugar control?,comparison,3,TinyLlama,True,,[],False,False
3063,How do the biochemical impacts of polyphenol differ from calcium in pediatric diets?,comparison,3,TinyLlama,True,,['calcium'],False,True
3489,How does zinc affect metabolic pathways in the human body?,general,1,TinyLlama,True,,['zinc'],False,True
2365,How can clinical dietitians use phytate composition data in patient care?,general,4,Mistral,False,therapy,['phytate'],False,True
1374,Suggest foods from the Food Composition Table rich in iron for elderly patients.,recommendation,5,Mistral,False,,['iron'],False,True
88,How much selenium should someone with Keshan disease consume daily?,recommendation,5,Mistral,True,,[],False,False
328,How does the body synthesize collagen?,general,4,Mistral,False,,[],False,False
1265,How do the biochemical impacts of fiber differ from iron in pediatric diets?,comparison,5,TinyLlama,True,,"['fiber', 'iron']",False,True
150,How much vitamin K should someone with cholestasis consume daily?,recommendation,5,Mistral,True,,['vitamin k'],False,True
412,What is the role of folate in DNA synthesis?,general,4,Mistral,False,,[],False,False
321,What should I eat if I have chylomicron retention disease with vitamin E 3 µg/mL?,therapy,5,Mistral,False,,[],True,False
1744,Describe the biochemical mechanisms of zinc absorption.,general,4,Mistral,False,recommendation,['zinc'],False,True
2544,What is the best way to enhance calcium absorption for pregnant women?,recommendation,1,Mistral,True,,['calcium'],False,True
149,What's the recommended daily vitamin A intake for a child with night blindness?,recommendation,5,Mistral,True,,['vitamin a'],False,True
920,Nutrition therapy recommendations for anorexia nervosa with refeeding syndrome risk,therapy,5,Mistral,False,,[],True,False
1006,What is the role of zinc in immune function?,general,4,Mistral,False,,['zinc'],False,True
3197,Suggest plant-based alternatives high in iron for osteoporosis.,recommendation,1,Mistral,False,,['iron'],False,True
1507,How should a patient with kidney stones adjust their diet to improve iron absorption?,therapy,1,TinyLlama,False,,['iron'],False,True
71,What's the recommended daily fiber intake for someone with IBS-D?,recommendation,3,Mistral,True,,['fiber'],False,True
517,How much fiber should I eat daily for constipation?,recommendation,3,Mistral,True,therapy,['fiber'],False,True
3421,What is the role of phytates in human biochemistry?,general,4,TinyLlama,False,,['phytate'],False,True
3110,"Among them, option possesses greater protein digestibility: wheat bread or oats?",comparison,2,Mistral,True,,['protein'],False,True
1925,What contains greater protein digestibility: lentils or quinoa?,comparison,4,TinyLlama,False,,['protein'],False,True
3394,What is the role of phytates in human biochemistry?,general,5,Mistral,True,,['phytate'],False,True
3007,Contrast the effects of zinc gluconate and folic acid on calcium absorption.,comparison,2,Mistral,True,,"['calcium', 'zinc']",False,True
195,What's the ideal protein intake for a child with PKU?,recommendation,5,Mistral,True,,['protein'],False,True
2146,Propose a therapy combining dietary and supplement interventions for celiac disease.,therapy,1,TinyLlama,False,,[],False,False
2193,Describe the biochemical mechanisms of zinc absorption.,general,2,TinyLlama,False,,['zinc'],False,True
1888,"In your view, which option shows elevated protein digestibility: millet porridge or oats?",comparison,3,Mistral,False,,['protein'],False,True
3046,Evaluate high-fiber vs vegan for iron bioavailability in patients with anemia.,comparison,2,Mistral,True,,"['fiber', 'iron']",False,True
392,Compare the vitamin D content in fortified milk and mushrooms,comparison,3,Mistral,True,therapy,['vitamin d'],False,True
484,What's the recommended daily fiber intake for someone with IBS-D?,recommendation,3,Mistral,True,,['fiber'],False,True
1558,Outline a clinical nutrition plan for managing celiac disease with low-phytate foods.,therapy,3,TinyLlama,False,,['phytate'],False,True
3227,Propose a supplementation strategy for improving iron status in iron-deficiency anemia.,recommendation,4,Mistral,True,,['iron'],False,True
2364,"In your view, which option possesses elevated protein digestibility: millet porridge or oats?",comparison,5,TinyLlama,False,recommendation,['protein'],False,True
1915,Examine the phytate amounts in millet porridge and sorghum based on the Food Composition Table.,comparison,5,TinyLlama,True,,['phytate'],False,True
3100,How do the biochemical impacts of phytate differ from vitamin C in pediatric diets?,comparison,3,TinyLlama,True,,"['phytate', 'vitamin c']",False,True
146,What's the ideal protein intake for a child with kwashiorkor?,recommendation,5,Mistral,True,,['protein'],False,True
3382,How does calcium affect metabolic pathways in the human body?,general,1,TinyLlama,True,,['calcium'],False,True
1044,Which is better for vitamin E absorption: palm oil or shea butter?,comparison,2,TinyLlama,True,,[],False,False
122,How much magnesium should someone with migraines consume daily?,recommendation,4,Mistral,True,,['magnesium'],False,True
1816,Assess Mediterranean vs paleo for iron bioavailability in patients with anemia.,comparison,1,TinyLlama,True,,['iron'],False,True
496,What's the recommended daily calorie intake for catch-up growth in Nigeria?,recommendation,5,Mistral,True,,[],False,False
65,What's the ideal carbohydrate intake for a child with reactive hypoglycemia?,recommendation,4,Mistral,True,,[],False,False
1348,Recommend a supplementation strategy for improving calcium status in iron-deficiency anemia.,recommendation,1,TinyLlama,False,,"['calcium', 'iron']",False,True
1450,Suggest foods from the Food Composition Table rich in zinc for athletes.,recommendation,1,Mistral,False,,['zinc'],False,True
2661,Outline a clinical nutrition plan for managing celiac disease with low-phytate foods.,therapy,5,Mistral,False,,['phytate'],True,True
1810,How do the biochemical impacts of fiber differ from iron in pediatric diets?,comparison,4,TinyLlama,False,,"['fiber', 'iron']",False,True
2250,How can clinical dietitians use phytate composition data in patient care?,general,1,Mistral,True,,['phytate'],False,True
3210,Suggest foods from the Food Composition Table rich in calcium for athletes.,recommendation,4,Mistral,False,,['calcium'],False,True
1999,Propose dietary changes for reducing phytate intake in pregnant women.,recommendation,4,Mistral,True,,['phytate'],False,True
2220,How can clinical dietitians use phytate composition data in patient care?,general,5,Mistral,True,,['phytate'],False,True
2115,Propose a therapy combining dietary and supplement interventions for osteoporosis.,therapy,1,Mistral,True,,[],False,False
706,Which is better for gut microbiome diversity: palm wine or fermented millet?,comparison,4,Mistral,True,,[],False,False
224,Diet plan for phenylketonuria with blood phenylalanine 600 µmol/L,therapy,5,Mistral,False,,[],True,False
1236,Compare vegetarian vs omnivorous for iron bioavailability in patients with anemia.,comparison,3,Mistral,True,,['iron'],False,True
1678,How can clinical dietitians use phytate composition data in patient care?,general,4,Mistral,False,,['phytate'],False,True
1837,"Out of these, option shows elevated protein digestibility: lentils or quinoa?",comparison,2,Mistral,False,,['protein'],False,True
258,What's the recommended daily fiber intake for someone with IBS-C?,recommendation,3,Mistral,True,,['fiber'],False,True
3116,How do the biochemical impacts of oxalate differ from magnesium in pediatric diets?,comparison,4,Mistral,True,,['magnesium'],False,True
2862,What is the role of phytates in human biochemistry?,general,4,Mistral,False,,['phytate'],False,True
2076,Create a therapeutic nutritional plan for iron-deficiency anemia based on the Food Composition Table.,therapy,4,Mistral,True,,['iron'],True,True
3575,Design a dietary intervention for improving zinc status in type 2 diabetes.,therapy,4,Mistral,False,recommendation,['zinc'],True,True
3259,Propose a therapy combining dietary and supplement interventions for iron-deficiency anemia.,therapy,3,TinyLlama,False,,['iron'],False,True
374,Nutrition plan for NAFLD with T2DM and obesity (BMI 38),therapy,5,Mistral,False,,[],True,False
278,Nutrition plan for NAFLD with metabolic syndrome,therapy,5,Mistral,False,,[],True,False
3171,Suggest foods from the Food Composition Table rich in magnesium for pregnant women.,recommendation,4,TinyLlama,False,,['magnesium'],False,True
2895,How can clinical dietitians use phytate composition data in patient care?,general,2,TinyLlama,True,,['phytate'],False,True
1835,"Out of these, option shows greater protein digestibility: millet porridge or maize flour?",comparison,3,TinyLlama,True,,['protein'],False,True
829,What daily selenium intake is recommended for people with thyroiditis?,recommendation,4,Mistral,True,,[],False,False
2620,Recommend dietary changes for reducing phytate intake in athletes.,recommendation,1,Mistral,False,,['phytate'],False,True
2659,Propose a therapy combining dietary and supplement interventions for iron-deficiency anemia.,therapy,3,TinyLlama,False,,['iron'],False,True
393,Nutrition management for rheumatoid arthritis with TNF inhibitor treatment,therapy,5,Mistral,False,,[],True,False
1833,How do the biochemical impacts of fiber differ from iron in pediatric diets?,comparison,3,TinyLlama,True,,"['fiber', 'iron']",False,True
949,Diet management recommendations for IBD with vitamin B12 deficiency (200 pg/mL),therapy,5,Mistral,False,,[],True,False
1576,How does iron affect metabolic pathways in the human body?,general,1,TinyLlama,True,,['iron'],False,True
2282,Explain the relationship between the Food Composition Table and dietary assessment.,general,3,Mistral,False,,[],False,False
2985,Compare the effects of zinc gluconate and fish oil on calcium absorption.,comparison,5,TinyLlama,True,therapy,"['calcium', 'zinc']",False,True
446,Compare C3 and C5 acylcarnitine levels in propionic vs methylmalonic acidemia,comparison,5,Mistral,True,,[],False,False
251,How much selenium should someone with Keshan disease consume daily?,recommendation,5,Mistral,True,,[],False,False
2524,Compare the phytate levels in brown rice and maize flour based on the Food Composition Table.,comparison,4,Mistral,True,,['phytate'],False,True
2219,How can clinical dietitians use phytate composition data in patient care?,general,1,TinyLlama,False,,['phytate'],False,True
3539,How do the biochemical impacts of polyphenol differ from magnesium in pediatric diets?,comparison,2,Mistral,True,recommendation,['magnesium'],False,True
1260,Which has higher protein digestibility: brown rice or oats?,comparison,3,Mistral,False,,['protein'],False,True
1363,Suggest foods from the Food Composition Table rich in calcium for elderly patients.,recommendation,1,Mistral,False,,['calcium'],False,True
347,What should I eat if I have high blood pressure?,therapy,2,TinyLlama,True,recommendation,[],False,False
2966,Which has higher protein digestibility: brown rice or sorghum?,comparison,5,TinyLlama,False,therapy,['protein'],False,True
2906,Which has higher protein digestibility: wheat bread or maize flour?,comparison,3,Mistral,False,recommendation,['protein'],False,True
78,How much zinc should a child with acrodermatitis enteropathica consume daily?,recommendation,5,Mistral,True,,['zinc'],False,True
2427,Compare the effects of magnesium citrate and potassium chloride on calcium absorption.,comparison,3,TinyLlama,False,,"['calcium', 'magnesium', 'potassium']",False,True
167,What's the ideal calcium intake for a child with hypocalcemia?,recommendation,5,Mistral,True,,['calcium'],False,True
832,What protein intake is ideal for a 65kg Nigerian basketball player?,recommendation,4,Mistral,True,,['protein'],False,True
2402,Compare the phytate levels in brown rice and quinoa based on the Food Composition Table.,comparison,5,Mistral,True,,['phytate'],False,True
471,What should I eat if I have NKH with elevated glycine?,therapy,5,Mistral,False,,[],True,False
339,Nutrition therapy for MSUD with isoleucine 300 µmol/L,therapy,5,Mistral,False,,[],True,False
3057,"Out of these, option contains more protein digestibility: cassava flour or sorghum?",comparison,2,Mistral,False,,['protein'],False,True
646,Which is better for gut health: palm wine or fermented cassava?,comparison,4,Mistral,True,,[],False,False
187,How much iron should a pregnant woman in Nigeria consume daily?,recommendation,4,Mistral,True,,['iron'],False,True
301,Diet therapy for hypertension and high cholesterol with LDL 160 mg/dL,therapy,5,Mistral,False,,['cholesterol'],True,True
325,What to eat with type 2 diabetes and GLP-1 agonist treatment?,therapy,5,Mistral,False,,[],True,False
1686,How can clinical dietitians use phytate composition data in patient care?,general,5,Mistral,True,,['phytate'],False,True
2494,Which has higher protein digestibility: brown rice or maize flour?,comparison,4,Mistral,True,,['protein'],False,True
3180,Suggest a supplementation strategy for improving calcium status in iron-deficiency anemia.,recommendation,3,TinyLlama,False,,"['calcium', 'iron']",False,True
754,What fat intake is ideal for people with fatty liver disease?,recommendation,4,Mistral,True,,[],False,False
77,What's the ideal protein intake for a child with cystic fibrosis?,recommendation,5,Mistral,True,,['protein'],False,True
2891,Explain the relationship between the Food Composition Table and dietary assessment.,general,5,Mistral,True,,[],False,False
73,What's the ideal calcium intake for a child with rickets?,recommendation,5,Mistral,True,,['calcium'],False,True
2892,What is the role of phytates in human biochemistry?,general,3,Mistral,False,,['phytate'],False,True
1039,How does the iron content of palm oil compare to shea butter?,comparison,2,TinyLlama,True,,['iron'],False,True
3286,Create a therapeutic meal plan for iron-deficiency anemia based on the Food Composition Table.,therapy,3,TinyLlama,False,,['iron'],False,True
763,What daily iron intake is recommended for breastfeeding women?,recommendation,3,Mistral,True,,['iron'],False,True
67,What's the recommended daily chromium intake for someone with insulin resistance?,recommendation,4,Mistral,True,,[],False,False
2254,How can clinical dietitians use phytate composition data in patient care?,general,5,Mistral,True,,['phytate'],False,True
2770,How should a patient with celiac disease adjust their diet to improve magnesium absorption?,therapy,4,Mistral,False,,['magnesium'],True,True
3340,How should a patient with celiac disease adjust their meal plan to improve magnesium absorption?,therapy,3,TinyLlama,False,,['magnesium'],False,True
